DT_T,Q_E,ZN_E,PH_E,DBO_E,DQO_E,SS_E,SSV_E,SED_E,COND_E,PH_P,DBO_P,SS_P,SSV_P,SED_P,COND_P,PH_D,DBO_D,DQO_D,SS_D,SSV_D,SED_D,COND_D,PH_S,DBO_S,DQO_S,SS_S,SSV_S,SED_S,COND_S,RD_DBO_P,RD_SS_P,RD_SED_P,RD_DBO_S,RD_DQO_S,RD_DBO_G,RD_DQO_G,RD_SS_G,RD_SED_G
D-1/3/90,44101,1.50,7.8,-1,407,166,66.3,4.5,2110,7.9,-1,228,70.2,5.5,2120,7.9,-1,280,94,72.3,0.3,2010,7.3,-1,84,21,81.0,0.02,2000,-1,58.8,95.5,-1,70.0,-1,79.4,87.3,99.6
D-2/3/90,39024,3.00,7.7,-1,443,214,69.2,6.5,2660,7.7,-1,244,75.4,7.7,2570,7.6,-1,474,96,79.2,0.4,2700,7.5,-1,91,17,94.1,0.00,2590,-1,60.7,94.8,-1,80.8,-1,79.5,92.1,100
D-4/3/90,32229,5.00,7.6,-1,528,186,69.9,3.4,1666,7.7,-1,220,72.7,4.5,1594,7.7,-1,272,92,78.3,0.2,1742,7.6,-1,128,21,81,0.05,1888,-1,58.2,95.6,-1,52.9,-1,75.8,88.7,98.5
D-5/3/90,35023,3.50,7.9,205,588,192,65.6,4.5,2430,7.8,236,268,73.1,8.5,2280,7.8,158,376,96,77.1,0.4,2060,7.6,20,104,20,96.7,0.00,1840,33.1,64.2,95.3,87.3,72.3,90.2,82.3,89.6,100
D-6/3/90,36924,1.50,8.0,242,496,176,64.8,4.0,2110,7.9,-1,236,57.6,4.5,2020,7.8,-1,372,88,68.2,0.2,2250,7.6,19,108,22,65.9,0.02,2120,-1,62.7,95.6,-1,71.0,92.1,78.2,87.5,99.5
D-7/3/90,38572,3.00,7.8,202,372,186,68.8,4.5,1644,7.8,-1,248,66.1,8.5,1762,7.7,150,460,100,76.0,0.3,1768,7.5,20,100,28,82.1,0.00,1764,-1,59.7,96.5,86.7,78.3,90.1,73.1,84.9,100
D-8/3/90,41115,6.00,7.8,-1,552,262,64.1,5.0,1603,7.8,-1,320,67.5,6.5,1608,7.8,192,376,122,72.1,0.4,1668,7.5,21,76,26,84.6,0.05,1703,-1,61.9,93.8,89.1,79.8,-1,86.2,90.1,99.0
D-9/3/90,36107,5.00,7.7,215,489,334,40.7,6.0,1613,7.6,-1,304,53.9,8.0,1557,7.6,181,350,90,71.1,0.4,1596,7.5,17,162,18,66.7,0.00,1606,-1,70.4,95.6,90.6,53.7,92.1,66.9,94.6,100
D-11/3/90,29156,2.50,7.7,206,451,194,69.1,4.5,1249,7.7,206,220,61.8,4.0,1219,7.7,111,282,124,77.4,0.3,1233,7.5,16,118,19,84.2,0.03,1338,46.1,43.6,92.5,85.6,58.2,92.2,73.8,90.2,99.4
D-12/3/90,39246,2.00,7.8,172,506,200,69.0,5.0,1865,7.8,208,248,66.1,6.5,1929,7.8,164,463,100,78.0,0.6,1825,7.6,19,157,27,87.0,0.02,1616,21.2,59.7,90.8,88.4,66.1,89.0,69.0,86.5,99.6
